gene	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ009735	1	0	0		RUN and FYVE domain containing protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WS49]	ID=gene:CPIJ009735;biotype=protein_coding;description=RUN and FYVE domain containing protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WS49];gene_id=CPIJ009735;logic_name=vectorbase_culex
CPIJ009748	1	0	0		Beta3 protein [Source:VB Community Annotation]	ID=gene:CPIJ009748;biotype=protein_coding;description=Beta3 protein [Source:VB Community Annotation];gene_id=CPIJ009748;logic_name=vectorbase_culex
CPIJ009749	0	0	1		Calcitonin receptor [Source:UniProtKB/TrEMBL%3BAcc:B0WQT0]	ID=gene:CPIJ009749;biotype=protein_coding;description=Calcitonin receptor [Source:UniProtKB/TrEMBL%3BAcc:B0WQT0];gene_id=CPIJ009749;logic_name=vectorbase_culex
CPIJ009756	0	0	1		DNA topoisomerase 3-beta [Source:VB Community Annotation]	ID=gene:CPIJ009756;biotype=protein_coding;description=DNA topoisomerase 3-beta [Source:VB Community Annotation];gene_id=CPIJ009756;logic_name=vectorbase_culex
CPIJ009805	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSY9]	ID=gene:CPIJ009805;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSY9];gene_id=CPIJ009805;logic_name=vectorbase_culex
CPIJ009813	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WSZ7]	ID=gene:CPIJ009813;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WSZ7];gene_id=CPIJ009813;logic_name=vectorbase_culex
CPIJ009821	0	0	1		RpI12 [Source:VB Community Annotation]	ID=gene:CPIJ009821;biotype=protein_coding;description=RpI12 [Source:VB Community Annotation];gene_id=CPIJ009821;logic_name=vectorbase_culex
CPIJ009879	0	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WT83]	ID=gene:CPIJ009879;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WT83];gene_id=CPIJ009879;logic_name=vectorbase_culex
CPIJ009903	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WRX3]	ID=gene:CPIJ009903;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WRX3];gene_id=CPIJ009903;logic_name=vectorbase_culex
CPIJ009922	0	0	1	CTL11	C-type lectin [Source:VB Community Annotation]	ID=gene:CPIJ009922;Name=CTL11;biotype=protein_coding;description=C-type lectin [Source:VB Community Annotation];gene_id=CPIJ009922;logic_name=vectorbase_culex
CPIJ009930	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSW0]	ID=gene:CPIJ009930;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSW0];gene_id=CPIJ009930;logic_name=vectorbase_culex
CPIJ009937	0	0	1	OBP44	odorant binding protein OBP44 [Source:VB Community Annotation]	ID=gene:CPIJ009937;Name=OBP44;biotype=protein_coding;description=odorant binding protein OBP44 [Source:VB Community Annotation];gene_id=CPIJ009937;logic_name=vectorbase_culex
CPIJ009940	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSX0]	ID=gene:CPIJ009940;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSX0];gene_id=CPIJ009940;logic_name=vectorbase_culex
CPIJ009943	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSX3]	ID=gene:CPIJ009943;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSX3];gene_id=CPIJ009943;logic_name=vectorbase_culex
CPIJ009949	0	0	1		Cop9 signalosome complex subunit [Source:UniProtKB/TrEMBL%3BAcc:B0WRU6]	ID=gene:CPIJ009949;biotype=protein_coding;description=Cop9 signalosome complex subunit [Source:UniProtKB/TrEMBL%3BAcc:B0WRU6];gene_id=CPIJ009949;logic_name=vectorbase_culex
CPIJ010000	0	0	1	mRpL20	39S ribosomal protein L20%2C mitochondrial [Source:VB Community Annotation]	ID=gene:CPIJ010000;Name=mRpL20;biotype=protein_coding;description=39S ribosomal protein L20%2C mitochondrial [Source:VB Community Annotation];gene_id=CPIJ010000;logic_name=vectorbase_culex
CPIJ010001	1	0	0		tRNA methyltransferase [Source:UniProtKB/TrEMBL%3BAcc:B0WSS4]	ID=gene:CPIJ010001;biotype=protein_coding;description=tRNA methyltransferase [Source:UniProtKB/TrEMBL%3BAcc:B0WSS4];gene_id=CPIJ010001;logic_name=vectorbase_culex
CPIJ010012	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WRN7]	ID=gene:CPIJ010012;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WRN7];gene_id=CPIJ010012;logic_name=vectorbase_culex
CPIJ010013	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WRN8]	ID=gene:CPIJ010013;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WRN8];gene_id=CPIJ010013;logic_name=vectorbase_culex
CPIJ010110	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTL0]	ID=gene:CPIJ010110;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTL0];gene_id=CPIJ010110;logic_name=vectorbase_culex
CPIJ010122	0	0	1		galectin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ010122;biotype=protein_coding;description=galectin%2C putative [Source:VB Community Annotation];gene_id=CPIJ010122;logic_name=vectorbase_culex
CPIJ010150	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTH4]	ID=gene:CPIJ010150;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTH4];gene_id=CPIJ010150;logic_name=vectorbase_culex
CPIJ010162	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTI6]	ID=gene:CPIJ010162;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTI6];gene_id=CPIJ010162;logic_name=vectorbase_culex
CPIJ010193	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WU65]	ID=gene:CPIJ010193;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WU65];gene_id=CPIJ010193;logic_name=vectorbase_culex
CPIJ010210	1	0	0		amino acid transporter%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ010210;biotype=protein_coding;description=amino acid transporter%2C putative [Source:VB Community Annotation];gene_id=CPIJ010210;logic_name=vectorbase_culex
CPIJ010234	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSK1]	ID=gene:CPIJ010234;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSK1];gene_id=CPIJ010234;logic_name=vectorbase_culex
CPIJ010275	1	0	0		Map/microtubule affinity-regulating kinase 2%2C4 [Source:UniProtKB/TrEMBL%3BAcc:B0WSM0]	ID=gene:CPIJ010275;biotype=protein_coding;description=Map/microtubule affinity-regulating kinase 2%2C4 [Source:UniProtKB/TrEMBL%3BAcc:B0WSM0];gene_id=CPIJ010275;logic_name=vectorbase_culex
CPIJ010279	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSM4]	ID=gene:CPIJ010279;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WSM4];gene_id=CPIJ010279;logic_name=vectorbase_culex
CPIJ010328	0	0	1		39S ribosomal protein L51%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ010328;biotype=protein_coding;description=39S ribosomal protein L51%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ010328;logic_name=vectorbase_culex
CPIJ010329	1	0	0		Importin beta-3 [Source:UniProtKB/TrEMBL%3BAcc:B0WUN0]	ID=gene:CPIJ010329;biotype=protein_coding;description=Importin beta-3 [Source:UniProtKB/TrEMBL%3BAcc:B0WUN0];gene_id=CPIJ010329;logic_name=vectorbase_culex
CPIJ010333	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WUN4]	ID=gene:CPIJ010333;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WUN4];gene_id=CPIJ010333;logic_name=vectorbase_culex
CPIJ010359	0	0	1		H4 histone [Source:VB Community Annotation]	ID=gene:CPIJ010359;biotype=protein_coding;description=H4 histone [Source:VB Community Annotation];gene_id=CPIJ010359;logic_name=vectorbase_culex
CPIJ010364	0	0	1		histone H3.2 [Source:VB Community Annotation]	ID=gene:CPIJ010364;biotype=protein_coding;description=histone H3.2 [Source:VB Community Annotation];gene_id=CPIJ010364;logic_name=vectorbase_culex
CPIJ010384	0	0	1		LYR motif-containing protein 2 [Source:UniProtKB/TrEMBL%3BAcc:B0WTG0]	ID=gene:CPIJ010384;biotype=protein_coding;description=LYR motif-containing protein 2 [Source:UniProtKB/TrEMBL%3BAcc:B0WTG0];gene_id=CPIJ010384;logic_name=vectorbase_culex
CPIJ010392	0	0	1		PET191 polypeptide%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ010392;biotype=protein_coding;description=PET191 polypeptide%2C putative [Source:VB Community Annotation];gene_id=CPIJ010392;logic_name=vectorbase_culex
CPIJ010416	0	0	1		Prefoldin subunit 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WUC3]	ID=gene:CPIJ010416;biotype=protein_coding;description=Prefoldin subunit 1 [Source:UniProtKB/TrEMBL%3BAcc:B0WUC3];gene_id=CPIJ010416;logic_name=vectorbase_culex
CPIJ010440	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WT20]	ID=gene:CPIJ010440;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WT20];gene_id=CPIJ010440;logic_name=vectorbase_culex
CPIJ010444	0	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WT24]	ID=gene:CPIJ010444;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WT24];gene_id=CPIJ010444;logic_name=vectorbase_culex
CPIJ010472	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTL9]	ID=gene:CPIJ010472;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTL9];gene_id=CPIJ010472;logic_name=vectorbase_culex
CPIJ010483	0	0	1		Transcription initiation factor TFIID subunit 10 [Source:UniProtKB/TrEMBL%3BAcc:B0WUQ2]	ID=gene:CPIJ010483;biotype=protein_coding;description=Transcription initiation factor TFIID subunit 10 [Source:UniProtKB/TrEMBL%3BAcc:B0WUQ2];gene_id=CPIJ010483;logic_name=vectorbase_culex
CPIJ010500	0	0	1		Ribosome biogenesis regulatory protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTY4]	ID=gene:CPIJ010500;biotype=protein_coding;description=Ribosome biogenesis regulatory protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTY4];gene_id=CPIJ010500;logic_name=vectorbase_culex
CPIJ010528	0	0	1	RpL18a	60S ribosomal protein L18a [Source:UniProtKB/TrEMBL%3BAcc:B0WTN6]	ID=gene:CPIJ010528;Name=RpL18a;biotype=protein_coding;description=60S ribosomal protein L18a [Source:UniProtKB/TrEMBL%3BAcc:B0WTN6];gene_id=CPIJ010528;logic_name=vectorbase_culex
CPIJ010586	0	0	1		Transcription elongation factor SPT4 [Source:UniProtKB/TrEMBL%3BAcc:B0WT61]	ID=gene:CPIJ010586;biotype=protein_coding;description=Transcription elongation factor SPT4 [Source:UniProtKB/TrEMBL%3BAcc:B0WT61];gene_id=CPIJ010586;logic_name=vectorbase_culex
CPIJ010589	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WT64]	ID=gene:CPIJ010589;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WT64];gene_id=CPIJ010589;logic_name=vectorbase_culex
CPIJ010610	0	0	1		NADH-ubiquinone oxidoreductase B8 subunit [Source:UniProtKB/TrEMBL%3BAcc:B0WUY1]	ID=gene:CPIJ010610;biotype=protein_coding;description=NADH-ubiquinone oxidoreductase B8 subunit [Source:UniProtKB/TrEMBL%3BAcc:B0WUY1];gene_id=CPIJ010610;logic_name=vectorbase_culex
CPIJ010664	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WV57]	ID=gene:CPIJ010664;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WV57];gene_id=CPIJ010664;logic_name=vectorbase_culex
CPIJ010670	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTT4]	ID=gene:CPIJ010670;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTT4];gene_id=CPIJ010670;logic_name=vectorbase_culex
CPIJ010674	0	0	1		Proliferating-cell nucleolar antigen p120 [Source:UniProtKB/TrEMBL%3BAcc:B0WTT8]	ID=gene:CPIJ010674;biotype=protein_coding;description=Proliferating-cell nucleolar antigen p120 [Source:UniProtKB/TrEMBL%3BAcc:B0WTT8];gene_id=CPIJ010674;logic_name=vectorbase_culex
CPIJ010676	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTU0]	ID=gene:CPIJ010676;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTU0];gene_id=CPIJ010676;logic_name=vectorbase_culex
CPIJ010682	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTU6]	ID=gene:CPIJ010682;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WTU6];gene_id=CPIJ010682;logic_name=vectorbase_culex
CPIJ010685	0	0	1		Anaphase-promoting complex subunit 10 [Source:UniProtKB/TrEMBL%3BAcc:B0WTU9]	ID=gene:CPIJ010685;biotype=protein_coding;description=Anaphase-promoting complex subunit 10 [Source:UniProtKB/TrEMBL%3BAcc:B0WTU9];gene_id=CPIJ010685;logic_name=vectorbase_culex
CPIJ010692	0	0	1		60S ribosomal protein L31 [Source:UniProtKB/TrEMBL%3BAcc:B0WTV6]	ID=gene:CPIJ010692;biotype=protein_coding;description=60S ribosomal protein L31 [Source:UniProtKB/TrEMBL%3BAcc:B0WTV6];gene_id=CPIJ010692;logic_name=vectorbase_culex
CPIJ010710	0	0	1		MOSC domain-containing protein 2%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ010710;biotype=protein_coding;description=MOSC domain-containing protein 2%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ010710;logic_name=vectorbase_culex
CPIJ010724	0	0	1	OBP26	odorant binding protein OBP26 [Source:VB Community Annotation]	ID=gene:CPIJ010724;Name=OBP26;biotype=protein_coding;description=odorant binding protein OBP26 [Source:VB Community Annotation];gene_id=CPIJ010724;logic_name=vectorbase_culex
CPIJ010728	0	0	1	OBP27	odorant binding protein OBP27 [Source:VB Community Annotation]	ID=gene:CPIJ010728;Name=OBP27;biotype=protein_coding;description=odorant binding protein OBP27 [Source:VB Community Annotation];gene_id=CPIJ010728;logic_name=vectorbase_culex
CPIJ010731	0	0	1		Lysozyme c-4 [Source:UniProtKB/TrEMBL%3BAcc:B0WUD2]	ID=gene:CPIJ010731;biotype=protein_coding;description=Lysozyme c-4 [Source:UniProtKB/TrEMBL%3BAcc:B0WUD2];gene_id=CPIJ010731;logic_name=vectorbase_culex
CPIJ010767	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WV93]	ID=gene:CPIJ010767;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WV93];gene_id=CPIJ010767;logic_name=vectorbase_culex
CPIJ010787	0	0	1	OBP51	odorant binding protein OBP51 [Source:VB Community Annotation]	ID=gene:CPIJ010787;Name=OBP51;biotype=protein_coding;description=odorant binding protein OBP51 [Source:VB Community Annotation];gene_id=CPIJ010787;logic_name=vectorbase_culex
CPIJ010788	0	0	1	OBP52	odorant binding protein OBP52 [Source:VB Community Annotation]	ID=gene:CPIJ010788;Name=OBP52;biotype=protein_coding;description=odorant binding protein OBP52 [Source:VB Community Annotation];gene_id=CPIJ010788;logic_name=vectorbase_culex
CPIJ010789	0	0	1	OBP53	odorant binding protein OBP53 [Source:VB Community Annotation]	ID=gene:CPIJ010789;Name=OBP53;biotype=protein_coding;description=odorant binding protein OBP53 [Source:VB Community Annotation];gene_id=CPIJ010789;logic_name=vectorbase_culex
CPIJ010819	1	0	0		Bridging integrator [Source:UniProtKB/TrEMBL%3BAcc:B0WUH3]	ID=gene:CPIJ010819;biotype=protein_coding;description=Bridging integrator [Source:UniProtKB/TrEMBL%3BAcc:B0WUH3];gene_id=CPIJ010819;logic_name=vectorbase_culex
CPIJ010827	0	0	1		60S ribosomal protein L14 [Source:UniProtKB/TrEMBL%3BAcc:B0WVA0]	ID=gene:CPIJ010827;biotype=protein_coding;description=60S ribosomal protein L14 [Source:UniProtKB/TrEMBL%3BAcc:B0WVA0];gene_id=CPIJ010827;logic_name=vectorbase_culex
CPIJ010840	0	0	1		mitochondrial inner membrane protein translocase%2C 9kD-subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ010840;biotype=protein_coding;description=mitochondrial inner membrane protein translocase%2C 9kD-subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ010840;logic_name=vectorbase_culex
CPIJ010892	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVH0]	ID=gene:CPIJ010892;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVH0];gene_id=CPIJ010892;logic_name=vectorbase_culex
CPIJ010896	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVH4]	ID=gene:CPIJ010896;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVH4];gene_id=CPIJ010896;logic_name=vectorbase_culex
CPIJ010897	0	0	1		DNA polymerase epsilon subunit 4 [Source:UniProtKB/TrEMBL%3BAcc:B0WVH5]	ID=gene:CPIJ010897;biotype=protein_coding;description=DNA polymerase epsilon subunit 4 [Source:UniProtKB/TrEMBL%3BAcc:B0WVH5];gene_id=CPIJ010897;logic_name=vectorbase_culex
CPIJ010916	1	0	0		gamma-tubulin complex component 4 [Source:VB Community Annotation]	ID=gene:CPIJ010916;biotype=protein_coding;description=gamma-tubulin complex component 4 [Source:VB Community Annotation];gene_id=CPIJ010916;logic_name=vectorbase_culex
CPIJ010918	0	0	1		acidic ribosomal protein P1%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ010918;biotype=protein_coding;description=acidic ribosomal protein P1%2C putative [Source:VB Community Annotation];gene_id=CPIJ010918;logic_name=vectorbase_culex
CPIJ010922	0	0	1		Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WU26]	ID=gene:CPIJ010922;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0WU26];gene_id=CPIJ010922;logic_name=vectorbase_culex
CPIJ010934	1	1	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WU38]	ID=gene:CPIJ010934;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WU38];gene_id=CPIJ010934;logic_name=vectorbase_culex
CPIJ011035	0	0	1		mediator complex%2C subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ011035;biotype=protein_coding;description=mediator complex%2C subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ011035;logic_name=vectorbase_culex
CPIJ011115	0	0	1		YTH domain protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVQ1]	ID=gene:CPIJ011115;biotype=protein_coding;description=YTH domain protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVQ1];gene_id=CPIJ011115;logic_name=vectorbase_culex
CPIJ011163	0	0	1		Scratch 2 protein [Source:UniProtKB/TrEMBL%3BAcc:B0WUT9]	ID=gene:CPIJ011163;biotype=protein_coding;description=Scratch 2 protein [Source:UniProtKB/TrEMBL%3BAcc:B0WUT9];gene_id=CPIJ011163;logic_name=vectorbase_culex
CPIJ011202	1	0	0		Acetyl-CoA synthetase [Source:UniProtKB/TrEMBL%3BAcc:B0WZJ8]	ID=gene:CPIJ011202;biotype=protein_coding;description=Acetyl-CoA synthetase [Source:UniProtKB/TrEMBL%3BAcc:B0WZJ8];gene_id=CPIJ011202;logic_name=vectorbase_culex
CPIJ011206	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WZK2]	ID=gene:CPIJ011206;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WZK2];gene_id=CPIJ011206;logic_name=vectorbase_culex
CPIJ011234	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WWZ4]	ID=gene:CPIJ011234;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WWZ4];gene_id=CPIJ011234;logic_name=vectorbase_culex
CPIJ011238	0	0	1		polypeptide N-acetylgalactosaminyltransferase 12 [Source:VB Community Annotation]	ID=gene:CPIJ011238;biotype=protein_coding;description=polypeptide N-acetylgalactosaminyltransferase 12 [Source:VB Community Annotation];gene_id=CPIJ011238;logic_name=vectorbase_culex
CPIJ011246	0	0	1		Heat shock protein 83 [Source:UniProtKB/TrEMBL%3BAcc:B0WX06]	ID=gene:CPIJ011246;biotype=protein_coding;description=Heat shock protein 83 [Source:UniProtKB/TrEMBL%3BAcc:B0WX06];gene_id=CPIJ011246;logic_name=vectorbase_culex
CPIJ011260	1	0	0		phosphoglucomutase [Source:VB Community Annotation]	ID=gene:CPIJ011260;biotype=protein_coding;description=phosphoglucomutase [Source:VB Community Annotation];gene_id=CPIJ011260;logic_name=vectorbase_culex
CPIJ011264	0	0	1		Mitogen-activated protein-binding protein-interacting protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVX4]	ID=gene:CPIJ011264;biotype=protein_coding;description=Mitogen-activated protein-binding protein-interacting protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVX4];gene_id=CPIJ011264;logic_name=vectorbase_culex
CPIJ011269	0	0	1		mitochondrial NADH:ubiquinone oxidoreductase B14.7 subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ011269;biotype=protein_coding;description=mitochondrial NADH:ubiquinone oxidoreductase B14.7 subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ011269;logic_name=vectorbase_culex
CPIJ011273	0	0	1		39S ribosomal protein 54%2C mitochondrial precursor [Source:VB Community Annotation]	ID=gene:CPIJ011273;biotype=protein_coding;description=39S ribosomal protein 54%2C mitochondrial precursor [Source:VB Community Annotation];gene_id=CPIJ011273;logic_name=vectorbase_culex
CPIJ011274	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVY4]	ID=gene:CPIJ011274;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVY4];gene_id=CPIJ011274;logic_name=vectorbase_culex
CPIJ011275	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVY5]	ID=gene:CPIJ011275;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WVY5];gene_id=CPIJ011275;logic_name=vectorbase_culex
CPIJ011281	1	0	0		Armadillo repeat-containing protein 8 [Source:UniProtKB/TrEMBL%3BAcc:B0WVZ1]	ID=gene:CPIJ011281;biotype=protein_coding;description=Armadillo repeat-containing protein 8 [Source:UniProtKB/TrEMBL%3BAcc:B0WVZ1];gene_id=CPIJ011281;logic_name=vectorbase_culex
CPIJ011325	0	0	1		RL23 [Source:UniProtKB/TrEMBL%3BAcc:B0WVC9]	ID=gene:CPIJ011325;biotype=protein_coding;description=RL23 [Source:UniProtKB/TrEMBL%3BAcc:B0WVC9];gene_id=CPIJ011325;logic_name=vectorbase_culex
CPIJ011376	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WW42]	ID=gene:CPIJ011376;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WW42];gene_id=CPIJ011376;logic_name=vectorbase_culex
CPIJ011388	0	0	1		diazepam binding inhibitor%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ011388;biotype=protein_coding;description=diazepam binding inhibitor%2C putative [Source:VB Community Annotation];gene_id=CPIJ011388;logic_name=vectorbase_culex
CPIJ011412	1	0	0		M-phase phosphoprotein 11 [Source:UniProtKB/TrEMBL%3BAcc:B0WW59]	ID=gene:CPIJ011412;biotype=protein_coding;description=M-phase phosphoprotein 11 [Source:UniProtKB/TrEMBL%3BAcc:B0WW59];gene_id=CPIJ011412;logic_name=vectorbase_culex
CPIJ011447	0	0	1		Pre-mRNA-splicing factor ini1 [Source:UniProtKB/TrEMBL%3BAcc:B0WVS0]	ID=gene:CPIJ011447;biotype=protein_coding;description=Pre-mRNA-splicing factor ini1 [Source:UniProtKB/TrEMBL%3BAcc:B0WVS0];gene_id=CPIJ011447;logic_name=vectorbase_culex
CPIJ011514	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WWX3]	ID=gene:CPIJ011514;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WWX3];gene_id=CPIJ011514;logic_name=vectorbase_culex
CPIJ011517	0	0	1		Tes39 [Source:UniProtKB/TrEMBL%3BAcc:B0WWX6]	ID=gene:CPIJ011517;biotype=protein_coding;description=Tes39 [Source:UniProtKB/TrEMBL%3BAcc:B0WWX6];gene_id=CPIJ011517;logic_name=vectorbase_culex
CPIJ011532	1	0	0			ID=gene:CPIJ011532;biotype=protein_coding;gene_id=CPIJ011532;logic_name=vectorbase_culex
CPIJ011537	1	0	0		rasputin [Source:VB Community Annotation]	ID=gene:CPIJ011537;biotype=protein_coding;description=rasputin [Source:VB Community Annotation];gene_id=CPIJ011537;logic_name=vectorbase_culex
CPIJ011545	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WWU6]	ID=gene:CPIJ011545;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0WWU6];gene_id=CPIJ011545;logic_name=vectorbase_culex
CPIJ011578	0	0	1	mRpL30	39S ribosomal protein L30%2C mitochondrial [Source:VB Community Annotation]	ID=gene:CPIJ011578;Name=mRpL30;biotype=protein_coding;description=39S ribosomal protein L30%2C mitochondrial [Source:VB Community Annotation];gene_id=CPIJ011578;logic_name=vectorbase_culex
